l_english:
 DIPLO_NO_FIGHTING:0 "No ongoing fighting:0 "
 DIPLO_UNCONDITIONALLY_SURRENDERED:0 "$WHO$ has unconditionally surrendered to $THEM$:0 "
 DIPLO_SET_PROVINCES_AS_VITAL:0 "$THEM$ considers $WE$ provinces to be of vital interest:0 "
 DIPLO_SET_MUTUAL_PROVINCES_AS_VITAL:0 "$THEM$ and $WE$ consider the same $NUM$ provinces to be of vital interest:0 "
 DIPLO_ALREADY_TRANSFERING_TRADE_POWER:0 "Already giving trade power to $WHO$:0 "
 DIPLO_TRADE_VASSALS:0 "Number of countries transferring trade power to $WHO$:0 "
 DIPLO_ACTIVE_RELATION:0 "Treaty is already active:0 "
 DIPLO_FIGHTING_OTHER_WAR_TOGETHER:0 "Fighting in another war together:0 "
 DIPLO_MULTI_WARS:0 "Would be called into multiple wars:0 "
 DIPLO_FIGHTING_OTHER_WAR:0 "Fighting in another war:0 "
 DIPLO_POSITIVE:0 "Positive: $VAL|G$"
 DIPLO_NEGATIVE:0 "Negative: $VAL|R$"
 DIPLO_UNSTABLE:0 "Nation is too unstable:0 "
 DIPLO_ALLIANCE_IS_BREAKING:0 "No longer desires $WHO$ as an ally:0 "
 DIPLO_BLOCKED_OFFENSIVE_CALLS:0 "$THEM$ is unwilling to join our offensive wars:0 "
 DIPLO_SET_AS_ENEMY:0 "The player of $THEM$ is Hostile towards $WHO$:0 "
 DIPLO_SET_AS_FRIENDLY:0 "The player of $THEM$ is Friendly towards $WHO$:0 "
 DIPLO_SET_AS_NEUTRAL:0 "The player of $THEM$ is Neutral towards $WHO$:0 "
 DIPLO_NOT_ENOUGH_FAVORS:0 "$WHO$ does not owe $US$ at least $AMT$ favors:0 "
 DIPLO_ENEMIES_TOO_FAR_AWAY:0 "Distant war:0 "
 DIPLO_DEFENSIVE_WAR:0 "Defensive War:0 "
 DIPLO_STABILITY_HIT:0 "Accepting would destabilize $WHO$:0 "
 DIPLO_OLD_WAR:0 "War started more than $MONTHS$ months ago:0 " 
 DIPLO_RECENT_OFFENSIVE_CALL:0 "Not willing to join another $WHO$ offensive war until §Y$DATE$§!:0 "
 DIPLO_HAS_ALLIANCE:0 "Has alliance:0 "
 DIPLO_NOT_BORDERING_RIVAL:0 "$WHO$ is not bordering a $OVERLORD$ rival or enemy:0 "
 DIPLO_BORDERING_UNCOLONIZED:0 "$WHO$ is bordering colonizeable territory:0 "
 DIPLO_UNLAWFUL_TERRITORY:0 "Unlawful Territory in the Empire:0 "
 DIPLO_NOT_DEMAND:0 "Not demand:0 "
 DIPLO_TOO_LARGE_MARCH:0 "Too high development compared to $OVERLORD$:0 "
 DIPLO_TOO_SMALL_MARCH:0 "Too low development compared to $OVERLORD$:0 "
 DIPLO_NOT_SMALL_NATION:0 "$WHO$ is too large for vassalization:0 "
 DIPLO_EMBARGO_AGAINST:0 "$WHO$ is embargoing $AGAINST$:0 "
 DIPLO_POPE:0 "$WHO$ is the Pope:0 "
 DIPLO_DISHONORED_ALLIANCE_RECENTLY:0 "$WHO$ recently dishonored their alliance with $US$:0 "
 DIPLO_ELECTOR:0 "$WHO$ is an Elector:0 "
 DIPLO_MERCHANT_REPUBLIC:0 "$WHO$ is a Merchant Republic:0 "
 DIPLO_THEOCRACY:0 "$WHO$ is a Theocracy:0 "
 DIPLO_MONARCHY:0 "$WHO$ is a Monarchy:0 "
 DIPLO_FREECITY:0 "$WHO$ is a Free City:0 "
 DIPLO_GOV_RANK:0 "$WHO$ government rank:0 "
 DIPLO_GOV_RANK_DIFF:0 "Difference in government ranks:0 "
 DIPLO_HOSTILE_CORE_CREATION:0 "Hostile Core-Creation Cost on $WHO$:0 "
 DIPLO_REVOLUTIONARY_WAR:0 "It's a revolutionary war:0 "
 DIPLO_NOT_NATIVE:0 "Can't use native diplomatic actions."
 DIPLO_NOT_WANT_GOLD:0 "Wants other concessions than gold:0 "
 DIPLO_NOT_WANT_BRIBE:0 "Will not betray their ally for gold:0 "
 DIPLO_STABILITY:0 "Stability of $WHO$:0 "
 DIPLO_IS_COLONY:0 "$PROV$ is a colony:0 "
 DIPLO_DEMAND_TOO_MUCH:0 "You demand too much:0 "
 DIPLO_DEMAND_ALL_PROVINCES:0 "Demand all provinces:0 "
 DIPLO_RELEASE_COUNTRIES:0 "Release countries:0 "
 DIPLO_EMPEROR_CANDIDATE:0 "$WHO$ is a candidate for emperor:0 "
 DIPLO_FORM_PERSONAL_UNION:0 "Form personal union:0 "
 DIPLO_CAN_BE_ANNEXED:0 "Can be annexed:0 "
 DIPLO_WAITING_FOR_ANNEXED:0 "Waiting for annexation:0 "
 DIPLO_BETTER_OFFER:0 "Someone else got a better offer:0 "
 DIPLO_ARE_WINNING:0 "$WHO$ are winning:0 "
 DIPLO_NOT_LEADER:0 "$WHO$ not leader of the war:0 "
 DIPLO_STRATEGIC_INTERESTS:0 "Strategic interests:0 "
 DIPLO_TOO_EARLY:0 "It's too early in the war:0 "
 DIPLO_COALITION:0 "Coalition war:0 "
 DIPLO_IS_REVOLUTION_TARGET:0 "$WHO$ is revolution target:0 "
 DIPLO_NOT_HAVE_LOCATION:0 "Doesn't have control over $NAME$:0 "
 DIPLO_WAR_PEACE_SCORE:0 "Warscore is bigger than peace offer:0 "
 DIPLO_QUIET_BONUS:0 "Inactivity in war:0 "
 DIPLO_PEACE_SCORE_TOO_HIGH:0 "Peace offer unreasonably big:0 "
 DIPLO_PEACE_OFFER_TOO_MUCH:0 "Offer is too generous:0 "
 DIPLO_WAR_DESPERATION:0 "Occupied and besieged provinces:0 "
 DIPLO_CRUSADE:0 "$WHO$ is crusade target:0 "
 DIPLO_WAR_REBELS:0 "Revolts in $WHO$:0 "
 DIPLO_WAR_CB:0 "$CB$ Casus Belli:0 "
 DIPLO_DEFEATED:0 "Utterly defeated:0 "
 DIPLO_PEACE_SCORE:0 "Peace offer value:0 "
 DIPLO_PERSONALITY_MILITARIST:0 "The $WHO$ ruler is a Militarist:0 "
 DIPLO_MILITARY_STRENGTH:0 "$WHO$ military strength:0 "
 DIPLO_WAR_SCORE:0 "Warscore:0 "
 DIPLO_WAR_SCORE_INDIVIDUAL:0 "Individual warscore against:"
 DIPLO_PEACEOFFER_VALUE:0 "Current peace offer:0 "
 DIPLO_ANNEX_US:0 "Would result in $WHO$'s annexation or vassalization:0 "
 DIPLO_WAR_BASE_RELUCTANCE:0 "Base reluctance:0 " 
 DIPLO_WAR_BATTLE_RELUCTANCE:0 "Ongoing battles:0 "
 DIPLO_IN_HRE:0 "$WHO$ is a member of the Empire:0 "
 DIPLO_NOT_IN_HRE:0 "$WHO$ is not a member of the Empire:0 "
 DIPLO_CORE_PROCESS:0 "Making it into a core:0 "
 DIPLO_RICHNESS:0 "Province Value:0 "
 DIPLO_WAR_TIME_PASSED:0 "Length of war:0 "
 DIPLO_THEY_WON_WAR:0 "$WHO$ won war:0 "
 DIPLO_WAR_STALLED:0 "War is stalled:0 "
 DIPLO_RIVAL_COLONIST:0 "$WHO$ is a colonial power:0 "
 DIPLO_WAR_UNOCCUPIED_FORTS:0 "Demanding $PROV$ without occupying any forts in the area:0 " 
 DIPLO_WAR_INCONCLUSIVE:0 "Need at least $VAL$ warscore to make demands:0 " 
 DIPLO_UNREASONABLE_DEMANDS:0 "Unreasonable demands:0 "
 DIPLO_UNDESIRABLE_PEACE:0 "Undesirable terms:0 "
 DIPLO_UNACCEPTABLE_PEACE:0 "$WHO$ does not want parts of the offer:0 "
 DIPLO_WANTS_OTHER_OFFER:0 "$WHO$ requires '$NAME$' to be part of the offer:0 "
 DIPLO_WANTS_ANNEX:0 "Wants to annex $COUNTRY$:0 "
 DIPLO_WANTS_END_TO_WAR:0 "Wants an end to the war:0 "
 DIPLO_BEST_POSSIBLE_PEACE_OFFER:0 "$TARGET$ does not want anything more from $WHO$:0 "
 DIPLO_HIGH_DEMANDS:0 "Demands exceed war score:0 "
