l_ukrainian:
 AI_CITY_STATE_NAME:0 "Місто $PROVINCE$"
 AI_CITY_STATE_ADJ:0 "$PROVINCE$'s"
 WOULD_DECREASE_OPINION_PER_PROVINCE_BY:0 "Їхнє ставлення до нас погіршиться на $VAL$ за провінцію але не сильніше, ніж на $LIMIT$."
 scaled_trade_league_leader:0 "Лідер Торгової Ліги (в залежності від кількості членів)"
 in_trade_league:0 "Перебуває в торговій лізі"
 LEADS_TRADE_LEAGUE:0 "Очолює торгову лігу"
 ANOTHER_MAX_STATE:0 "Доступні інші володіння"
 GOV_MAX_STATES:0 "Максимум володінь: $NUM$"
 MAX_STATE_TITLE_TECH:0 "Число володінь"
 MAKESTATE_NOT_CORE:0 "Провінція $NAME$ не національна.\n"
 STATE_MAINTENANCE_MODIFIER:0 "Зміст володінь"
 ECONOMY_STATE_MAINTENANCE_DRO:0 "Ми повинні щомісяця витрачати гроші на підтримку адміністративного апарату в своїх володіннях, якщо вони не є столичними. Розмір утримання залежить від загального розвитку і відстані до столиці."
 PROMOTE_MERCANTILISM:0 "Підняти меркантилізм"
 WATCH_TIMELINE:0 "Показати хронологію"
 CLOSE_TIMELINE:0 "Закрити хронологію"
 TIMELINE_NOT_WHILE_UNPAUSED:0 "§YНеможливо показати хронологію, якщо гра не стоїть на паузі.§!"
 TIMELINE_TITLE:0 "Хронологія історії"
 TIMELINE_SPEED_ALREADY:0 "Ця швидкість вже включена!"
 TIMELINE_SPEED_0:0 "Пауза"
 TIMELINE_SPEED_1:0 "Повільно"
 TIMELINE_SPEED_2:0 "Середньо"
 TIMELINE_SPEED_3:0 "Швидко"
 TIMELINE_SPEED_4:0 "Дуже швидко"
 HOSTILE_TITLE:0 "Інші держави мають картки на нас, що зменшує наш рахунок."
 HOSTILE_VICTORY_CARD_DESC:0 "§Y$AREA$§!: $COLOR$$SCORE$§!\n"
 TRADELEAGUE_WELEFT_VOLUNTARILY:0 "Ми вийшли за власним бажанням."
 TRADELEAGUE_WELEFT_GONE:0 "Нашої країни більше не існує."
 TRADELEAGUE_WELEFT_SUBJECT:0 "Ми не можемо бути частиною ліги, так як є васалом."
 TRADELEAGUE_WELEFT_TOOLARGE:0 "Будучи рядовим членом ліги,\n ми не можемо володіти більш ніж однією провінцією."
 TRADELEAGUE_WELEFT_BADLEAD:0 "Ми більше не можемо бути лідером.\nОчолювати лігу можуть тільки торгові республіки."
 TRADELEAGUE_WELEFT_TP:0 "Ми почали передавати торгівельний вплив в розмірі\nto $TO|Y$ за межі торгової ліги."
 TRADELEAGUE_WELEFT_WAR:0 "Ми знаходимося з ними в стані війни."
 TRADELEAGUE_THEYLEFT_VOLUNTARILY:0 "Вони покинули лігу за власним бажанням."
 TRADELEAGUE_THEYLEFT_GONE:0 "Їх країни більше не існує."
 TRADELEAGUE_THEYLEFT_SUBJECT:0 "Вони стали васалом, через що і покинули лігу."
 TRADELEAGUE_THEYLEFT_TOOLARGE:0 "Вони занадто розрослися. Всі члени крім\nлідера зобов'язані мати не більше однієї провінції."
